gene,padj
Pbx1,6.60312818243632e-306
Bpgm,3.5462412336467487e-305
Lrba,1.1699166155606526e-303
Arhgap26,2.3029179946837815e-303
Atxn7l1,6.049593634337815e-303
Meis1,6.580488445816952e-303
Klf13,2.2075506268058905e-302
Ptdss2,2.1165802657612586e-299
Irf2bpl,2.985188894961346e-299
Tal1,3.678600043061375e-299
Tpcn2,1.4288056435761106e-296
Creb5,2.7968083215123986e-296
Foxn3,4.673762926788769e-295
Cxcr4,5.331435434330664e-295
Spock1,5.2921771950176725e-294
Maf,1.504808968272249e-293
Shb,1.1741238440611637e-292
Rabgap1l,1.4352268032476305e-292
Cpeb4,1.1183955518774457e-290
Ppm1h,4.4668722856644447e-290
Plk2,2.147679647895453e-289
Lpcat1,7.270825102380979e-289
Prex1,3.885059753087591e-288
Plcl2,6.5174331856394545e-288
Pld1,1.1082047793475613e-287
Chst11,1.1627174023568178e-287
Prim2,2.3944014779797104e-287
Hk1,7.347831925874712e-287
Spred2,1.0104020982404365e-286
Gfi1b,2.6954057350652457e-286
Disc1,1.1817737346430922e-285
Mapkapk2,1.253585622722902e-285
Fryl,7.4852068449479e-284
Ednrb,9.457131599439375e-284
1700029N11Rik,4.194329254347665e-283
Sox6,4.407746924258895e-283
Dleu2,7.125262409126565e-283
Iqgap1,1.7680841215742762e-282
Bard1,2.9781232886914513e-282
Zswim6,1.7108302793414347e-281
Itga9,9.069873088072088e-281
Lrrc8d,5.705372400553379e-280
Aff1,8.494539585591437e-279
Zeb2,1.480937455513535e-278
Jun,2.5893445589067554e-278
Mitf,1.9493014218715098e-277
Prkar2b,6.467294027933815e-277
4933416M06Rik,2.1712801176985728e-276
Ikzf2,7.73767812586037e-276
Tec,1.113897622384926e-275
Mideas,4.1765468812161614e-275
Gm833,5.650593885465581e-275
Pvt1,5.7548603638824725e-275
Tut7,3.713485938783448e-274
Cacna1c,1.7152246131264067e-273
Trps1,4.1392248211544635e-273
Runx1,1.1251444705782414e-272
Bcas1,2.4774639795100355e-272
Syt1,2.4879243539110392e-272
Itgb5,6.799376051546495e-272
